Návštěvník,Pořadí,Pohlaví,Místo bydliště,Škola,Zdroj informace o DOD,Který obor mne zajímá,Učitelství - předmět,Co je důležité při výběru školy,Číslo obuvi,Kočka nebo pes?,Čas hlasování
Návštěvník 63,63,Muž,Ústí nad Labem,Vysoká škola,Plakát/Leták/Billboard,Počítačové modelování ve vědě a technice,,Kolektiv a dostupnost,41,😺 Jasně že kočka!,12.2.2026 12:51
Návštěvník 64,64,Muž,Litoměřice,Střední odborná škola,Web univerzity/fakulty,"Aplikované nanotechnologie,Aplikovaná chemie",,"Atmosféra, přístup učitelů, lokace, výhody spojené se školou ",42,😺 Jasně že kočka!,12.2.2026 12:56
Návštěvník 65,65,Žena,Teplice,Střední odborná škola,Instagram/Facebook,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Biologie,Prestiž,38,😺 Jasně že kočka!,12.2.2026 13:11
Návštěvník 66,66,Žena,Teplice,Gymnázium,Plakát/Leták/Billboard,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Matematika,Vzdálenost ,37,😺 Jasně že kočka!,12.2.2026 13:12
Návštěvník 67,67,Muž,Ústí nad Labem,Střední odborná škola,Instagram/Facebook,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Matematika,Kvalita výuky,40,😺 Jasně že kočka!,12.2.2026 13:13
Návštěvník 68,68,Muž,Ústí nad Labem,Gymnázium,Plakát/Leták/Billboard,Aplikovaná chemie,,"Aby to byl obor, který má dá širokou možnost budoucího zaměstnání. Abych mohl vždy dělat to co chci a nelimitovalo mě moje vzdělávání, které může být případně nedostatečné ",40,😺 Jasně že kočka!,12.2.2026 13:17
Návštěvník 69,69,Žena,Jiný okres,Nestuduji na žádné škole,Instagram/Facebook,Geografie (neučitelská),,Vzdálenost,43,Alergik 🙄,12.2.2026 13:19
Návštěvník 70,70,Žena,Ústí nad Labem,Vysoká škola,Instagram/Facebook,Aplikovaná chemie,,Rodinná atmosféra ,36,🐶 Jedině pes!,12.2.2026 13:21
Návštěvník 71,71,Žena,Ústí nad Labem,Střední odborná škola,Doporučil mi kamarád,Aplikovaná chemie,,aby byl skvely pristup a misto kde se citim bezpecne,38,🐶 Jedině pes!,12.2.2026 13:25
Návštěvník 72,72,Žena,Litoměřice,Nestuduji na žádné škole,Doporučil mi kamarád,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Biologie,Blízkost od bydliště ,38,😺 Jasně že kočka!,12.2.2026 13:48
Návštěvník 73,73,Žena,Litoměřice,Střední odborná škola,Instagram/Facebook,Geografie (neučitelská),,budoucí uplatnění ,40,😺 Jasně že kočka!,12.2.2026 13:48
Návštěvník 74,74,Žena,Litoměřice,Nestuduji na žádné škole,Doporučil mi kamarád,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Biologie,Prestiž ,38,😺 Jasně že kočka!,12.2.2026 13:50
Návštěvník 75,75,Žena,Litoměřice,Střední odborná škola,Doporučil mi kamarád,Geografie (neučitelská),,aby mě bavila,41,😺 Jasně že kočka!,12.2.2026 13:50
Návštěvník 76,76,Muž,Ústí nad Labem,Střední odborná škola,Doporučil mi kamarád,Geografie (neučitelská),,Přístup školy,45,🐶 Jedině pes!,12.2.2026 13:53
Návštěvník 77,77,Žena,Teplice,Střední odborná škola,Instagram/Facebook,Biologie (neučitelská),,"Recenze studentů, kteří studují obor o který se zajímám. ",38,😺 Jasně že kočka!,12.2.2026 13:55
Návštěvník 78,78,Jiné,Ústí nad Labem,Střední odborná škola,Instagram/Facebook,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""","Informatika,Matematika","Vzdálenost, finance, přátelé/komunita a rozmanitost oborů :)",36,😺 Jasně že kočka!,12.2.2026 14:06
Návštěvník 79,79,Muž,Teplice,Vysoká škola,Web univerzity/fakulty,Aplikovaná informatika,,Status studenta :D ,43,😺 Jasně že kočka!,12.2.2026 14:24
Návštěvník 80,80,Žena,Litoměřice,Vysoká škola,Instagram/Facebook,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""","Fyzika,Biologie",Její umístění vzhledem k mému bydlišti. Také se dívám na přístup zaměstnanců a atraktivitu vyučovaných předmětů. ,38,🐶 Jedině pes!,12.2.2026 14:26
Návštěvník 81,81,Muž,Děčín,Gymnázium,Instagram/Facebook,"Matematika ve firmách a veřejné správě,Geografie (neučitelská)",,"Kolektiv, uplatnění, dopravní dostupnost, jestli mě bude daný obor bavit",47,Alergik 🙄,12.2.2026 14:40
Návštěvník 82,82,Muž,Ústí nad Labem,Střední odborná škola,Doporučil mi učitel,Aplikovaná informatika,,"profesionalita, připravenost na den otevřených dveří (vypovídá to hodně) a příjemnost zaměstnanců",44,🐶 Jedině pes!,12.2.2026 14:46
Návštěvník 83,83,Žena,Ústí nad Labem,Střední odborná škola,Instagram/Facebook,Geografie (neučitelská),,"Důležitý je pro mě obsah studia, možnost praktických zkušeností a dobré uplatnění po absolvování. Také je pro mě podstatná kvalita výuky a příjemné studijní prostředí",38,🐶 Jedině pes!,12.2.2026 14:49
Návštěvník 84,84,Žena,Ústí nad Labem,Nestuduji na žádné škole,Jinde,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Fyzika,Že jsem tu jako doma,40,🐶 Jedině pes!,12.2.2026 14:56
Návštěvník 85,85,Žena,Jiný okres,Gymnázium,Doporučil mi učitel,Biologie (neučitelská),,"prostředí, výbava ",365,🐶 Jedině pes!,12.2.2026 15:31
Návštěvník 86,86,Muž,Ústí nad Labem,Nestuduji na žádné škole,Jinde,Geografie (neučitelská),,Zájem o problematiku a možnost budoucího uplatnění ,48,🐶 Jedině pes!,12.2.2026 15:57
Návštěvník 87,87,Žena,Ústí nad Labem,Vysoká škola,Web univerzity/fakulty,Biologie (neučitelská),,Uplatnitelnost v zaměstnání ,39,🐶 Jedině pes!,12.2.2026 15:59
Návštěvník 88,88,Žena,Teplice,Gymnázium,Web univerzity/fakulty,Biologie (neučitelská),,"Přístup kantor k žákům, možnosti uplatnění v oboru, dosah, kvalita vzdělání, ... ",38,🐶 Jedině pes!,12.2.2026 16:26
Návštěvník 89,89,Žena,Teplice,Gymnázium,Web univerzity/fakulty,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)"",Biologie (neučitelská),Aplikovaná chemie","Biologie,Chemie","Akreditace a kvalita školy, obsah a zaměření studijního programu, uplatnění absolventů na trhu práce, možnosti praxe a stáží, reputace školy a reference studentů, lokalita (dojíždění, koleje), finanční náklady (školné, bydlení, životní náklady), možnosti zahraničních pobytů (Erasmus apod.), podmínky přijímacího řízení, atmosféra a studentský život",37,🐶 Jedině pes!,12.2.2026 16:30
Návštěvník 90,90,Muž,Litoměřice,Střední odborná škola,Doporučil mi učitel,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Geografie,"Dobrý a kvalitní přístup 
Atmosféra
Přístup pedagogů
Vzdálenost od bydliště ",44,🐶 Jedině pes!,12.2.2026 18:06
Návštěvník 91,91,Žena,Ústí nad Labem,Nestuduji na žádné škole,Web univerzity/fakulty,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""","Biologie,Chemie","Vzdálenost od bydliště, možnost kombinované formy studia.",39,😺 Jasně že kočka!,12.2.2026 21:18
Návštěvník 92,92,Žena,Děčín,Gymnázium,Web univerzity/fakulty,"""Učitelství (obory pro vzdělávání, učitelství pro SŠ)""",Matematika,"Co se na škole mohu naučit, jaký je přístup kantorů, jak se na škole cítí studenti",38,🐶 Jedině pes!,12.2.2026 22:42
Návštěvník 93,93,Muž,Chomutov,Gymnázium,Web univerzity/fakulty,Aplikovaná chemie,,"Prostředí a celkový vzhled školy, výhled z okna učebny a lidé kteří tam vyučují.",586,Alergik 🙄,15.2.2026 11:10
Návštěvník 94,94,Muž,Jiný okres,Nestuduji na žádné škole,Web univerzity/fakulty,Biologie (neučitelská),,Rozsah studia a přístup vyučujících/fakulty. ,47,😺 Jasně že kočka!,17.2.2026 15:54
